dataset,model,operator,fold,num_branches,residual_mode,best_epoch,best_test_acc,test_loss,runtime_seconds,total_params
DD,MatrixRes,GCNConv,3,4,identity,65,0.7021276595744681,0.5854613184928894,203.10972666740417,56451
DD,MatrixRes,GCNConv,3,5,identity,77,0.723404255319149,0.5790063738822937,279.88317108154297,70531
DD,MatrixRes,GCNConv,3,6,identity,79,0.723404255319149,0.5840469598770142,351.443683385849,84611
DD,MatrixRes,GCNConv,3,7,identity,81,0.7276595744680852,0.5794317126274109,402.9127275943756,98691
DD,MatrixRes,GCNConv,3,8,identity,79,0.7191489361702128,0.579662561416626,484.765985250473,112771
DD,MatrixRes,GCNConv,4,1,identity,22,0.7063829787234043,0.599058210849762,75.53238153457642,14211
DD,MatrixRes,GCNConv,4,2,identity,12,0.7063829787234043,0.5969448685646057,70.23601055145264,28291
DD,MatrixRes,GCNConv,4,3,identity,10,0.6808510638297872,0.6058350801467896,89.96414470672607,42371
DD,MatrixRes,GCNConv,4,4,identity,13,0.6936170212765957,0.602985680103302,132.83003211021423,56451
DD,MatrixRes,GCNConv,4,5,identity,13,0.676595744680851,0.6074875593185425,170.09146451950073,70531
DD,MatrixRes,GCNConv,4,6,identity,19,0.676595744680851,0.6111500859260559,215.8157181739807,84611
DD,MatrixRes,GCNConv,4,7,identity,12,0.6553191489361702,0.6139395833015442,228.15702605247498,98691
DD,MatrixRes,GCNConv,4,8,identity,14,0.6851063829787234,0.6098166704177856,245.4388244152069,112771
PROTEINS,HorizontalRes,GCNConv,0,1,identity,30,0.6322869955156951,0.6326640844345093,16.398725986480713,12867
PROTEINS,HorizontalRes,GCNConv,0,2,identity,147,0.6681614349775785,0.6308916807174683,67.44215393066406,25603
PROTEINS,HorizontalRes,GCNConv,0,3,identity,47,0.6547085201793722,0.6370851397514343,59.42937755584717,38339
PROTEINS,HorizontalRes,GCNConv,0,4,identity,114,0.6816143497757847,0.6212643384933472,174.64586758613586,51075
PROTEINS,HorizontalRes,GCNConv,0,5,identity,113,0.6816143497757847,0.6263036131858826,241.58315086364746,63811
PROTEINS,HorizontalRes,GCNConv,0,6,identity,115,0.672645739910314,0.6329675316810608,323.69640135765076,76547
PROTEINS,HorizontalRes,GCNConv,0,7,identity,71,0.672645739910314,0.6236817836761475,287.2033922672272,89283
PROTEINS,HorizontalRes,GCNConv,0,8,identity,179,0.6860986547085202,0.6256129741668701,381.3226501941681,102019
PROTEINS,HorizontalRes,GCNConv,1,1,identity,82,0.7174887892376681,0.5872843265533447,24.753371715545654,12867
PROTEINS,HorizontalRes,GCNConv,1,2,identity,178,0.7309417040358744,0.5862342715263367,67.81206059455872,25603
PROTEINS,HorizontalRes,GCNConv,1,3,identity,200,0.726457399103139,0.5874638557434082,108.08180117607117,38339
PROTEINS,HorizontalRes,GCNConv,1,4,identity,131,0.7219730941704036,0.5894623398780823,190.62142872810364,51075
PROTEINS,HorizontalRes,GCNConv,1,5,identity,89,0.7309417040358744,0.587282121181488,213.33224058151245,63811
PROTEINS,HorizontalRes,GCNConv,1,6,identity,93,0.7309417040358744,0.5868573784828186,284.18058037757874,76547
PROTEINS,HorizontalRes,GCNConv,1,7,identity,157,0.7443946188340808,0.5839434862136841,369.73598766326904,89283
PROTEINS,HorizontalRes,GCNConv,1,8,identity,194,0.7309417040358744,0.5839467644691467,385.39488339424133,102019
PROTEINS,HorizontalRes,GCNConv,2,1,identity,83,0.7309417040358744,0.5978033542633057,24.89621615409851,12867
PROTEINS,HorizontalRes,GCNConv,2,2,identity,25,0.7354260089686099,0.6112938523292542,34.6041214466095,25603
PROTEINS,HorizontalRes,GCNConv,2,3,identity,84,0.7533632286995515,0.5976297855377197,78.82471036911011,38339
PROTEINS,HorizontalRes,GCNConv,2,4,identity,55,0.7399103139013453,0.6037534475326538,117.85810375213623,51075
PROTEINS,HorizontalRes,GCNConv,2,5,identity,42,0.726457399103139,0.600865364074707,150.51133966445923,63811
PROTEINS,HorizontalRes,GCNConv,2,6,identity,38,0.7399103139013453,0.6041204929351807,184.8739767074585,76547
PROTEINS,HorizontalRes,GCNConv,2,7,identity,37,0.7309417040358744,0.6060287952423096,195.96781754493713,89283
PROTEINS,HorizontalRes,GCNConv,2,8,identity,39,0.7399103139013453,0.6002830862998962,193.22840976715088,102019
PROTEINS,HorizontalRes,GCNConv,3,1,identity,54,0.7162162162162162,0.5913751125335693,20.200582265853882,12867
PROTEINS,HorizontalRes,GCNConv,3,2,identity,29,0.7207207207207207,0.5995467305183411,33.520554542541504,25603
PROTEINS,HorizontalRes,GCNConv,3,3,identity,38,0.7072072072072072,0.592230498790741,56.99760055541992,38339
PROTEINS,HorizontalRes,GCNConv,3,4,identity,47,0.7432432432432432,0.5849803686141968,113.73574805259705,51075
PROTEINS,HorizontalRes,GCNConv,3,5,identity,34,0.7207207207207207,0.5884737372398376,135.91287684440613,63811
PROTEINS,HorizontalRes,GCNConv,3,6,identity,52,0.7117117117117117,0.5868542790412903,207.98700952529907,76547
