dataset,model,operator,fold,branches,residual_mode,mean_pairwise_distance,max_pairwise_distance,residual_count_total,residual_norm_pre_total,residual_norm_post_total,active_ratio_mean,gate_mean,mean_grad_norm,grad_max,grad_min,mean_cosine_branch,mean_cosine_depth,mean_cka_branch,mean_cka_depth
DD,MatrixResGated,GCNConv,1,B4,sparse,1.2992857495943706,1.7039443254470825,38.0,7436.580192565918,5734.942939758301,0.2687127201507489,0.8377742171287537,0.01402763565527965,0.05906188488006592,0.0009338870295323431,0.9539389684796333,0.8260081873999702,0.9991084784269333,0.9713018602795072
DD,MatrixResGated,GCNConv,1,B5,sparse,1.5176493227481842,2.294926643371582,50.0,9368.67798614502,7208.775291442871,0.24938301003641555,0.8515729308128357,0.06330642849912471,0.3249192535877228,0.0026111609768122435,0.9453989219665527,0.813542041513655,0.9956567072868348,0.9319964382383559
DD,MatrixResGated,GCNConv,1,B6,sparse,1.3619632562001547,2.027017116546631,62.0,10701.805164337158,8228.102727890015,0.21602702557488726,0.8497613668441772,0.03081216579840447,0.1482008397579193,0.0015394150977954268,0.9238471355703142,0.8104358116785685,0.9934616370333565,0.9019498758845859
DD,MatrixResGated,GCNConv,1,B7,sparse,1.6098610957463582,2.5931060314178467,74.0,13170.60865020752,10016.510246276855,0.23835590783329236,0.8430230617523193,0.03555384961526013,0.19046759605407715,0.001695112674497068,0.9321492241353405,0.8228241205215454,0.993015351344128,0.8754722409778171
DD,MatrixResGated,GCNConv,1,B8,sparse,1.6614733785390854,2.825611114501953,86.0,15311.351287841797,11675.348518371582,0.23558914456516508,0.8403189182281494,0.05109241882832173,0.27473706007003784,0.002376626245677471,0.8914042180404067,0.8320764303207397,0.9765625316649675,0.842923899491628
DD,MatrixResGated,GCNConv,2,B1,sparse,0.0,0.0,2.0,364.8055114746094,242.2915267944336,0.2607032557328542,0.8093203902244568,0.021402470198356442,0.05319802835583687,0.002301205415278673,1.0,0.7766523361206055,1.0,0.9612871342235141
DD,MatrixResGated,GCNConv,2,B2,sparse,0.29521432518959045,0.29521432518959045,14.0,2643.8946380615234,1825.1903953552246,0.35686250858836704,0.8110902905464172,0.023528666856388252,0.06712819635868073,0.004919216502457857,0.9937118887901306,0.890837914413876,0.9999394714832306,0.9717617895868089
DD,MatrixResGated,GCNConv,2,B3,sparse,0.7112614313761393,0.756284773349762,26.0,5092.353439331055,3713.578342437744,0.3111188878063802,0.8084375262260437,0.02492938538835872,0.08843744546175003,0.004915475379675627,0.9723130067189535,0.8732093771298727,0.997779819700453,0.9688182804319594
DD,MatrixResGated,GCNConv,2,B4,sparse,1.3170259296894073,1.777185320854187,38.0,7863.654258728027,5602.388710021973,0.371910593079196,0.8055944442749023,0.03659965225529892,0.1478910744190216,0.004807312972843647,0.9276545643806458,0.8822157515419854,0.9829140976071358,0.9607966012424893
DD,MatrixResGated,GCNConv,2,B5,sparse,1.2620848715305328,2.037724494934082,50.0,9090.25080871582,6427.034908294678,0.30390135212077035,0.8083560466766357,0.02082178045318208,0.08377103507518768,0.003182649612426758,0.9277401757240296,0.8623603781064352,0.9851022744178772,0.9611505402459039
DD,MatrixResGated,GCNConv,2,B6,sparse,1.2903438766797384,1.9922813177108765,62.0,10674.641624450684,7551.179159164429,0.2694632691089754,0.8111211657524109,0.01091727240679738,0.0530259869992733,0.0010938005289062858,0.8775638557142682,0.8616146710183885,0.980962849325604,0.9680865340762668
DD,MatrixResGated,GCNConv,2,B7,sparse,1.578055012793768,2.1674344539642334,74.0,14666.859901428223,10361.368167877197,0.3542875039435568,0.8036598563194275,0.007941553166084405,0.04418925568461418,0.0006191003485582769,0.8740430644580296,0.9006198114818997,0.9706341344483045,0.9606667889489068
