artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,matrix_name,mean_cosine_depth,max_cosine_depth,min_cosine_depth
cosine_depth,DD,MatrixRes,GCNConv,0,B4,identity,20260507_092313,cosine_depth,0.9052831331888834,0.9999999403953552,0.7958447933197021
cosine_depth,DD,MatrixRes,GCNConv,0,B5,identity,20260507_092952,cosine_depth,0.9032281769646539,1.0,0.7716268301010132
cosine_depth,DD,MatrixRes,GCNConv,0,B6,identity,20260507_093718,cosine_depth,0.8889205985599093,1.000000238418579,0.7334353923797607
cosine_depth,DD,MatrixRes,GCNConv,0,B7,identity,20260507_094819,cosine_depth,0.9087068570984734,1.0000001192092896,0.787948727607727
cosine_depth,DD,MatrixRes,GCNConv,0,B8,identity,20260507_095714,cosine_depth,0.9151668945948283,1.0000001192092896,0.8020094633102417
cosine_depth,DD,MatrixRes,GCNConv,1,B1,identity,20260507_091301,cosine_depth,0.7580605679088168,1.0000001192092896,0.4988725185394287
cosine_depth,DD,MatrixRes,GCNConv,1,B2,identity,20260507_091548,cosine_depth,0.8423363963762919,1.0,0.600117564201355
cosine_depth,DD,MatrixRes,GCNConv,1,B3,identity,20260506_223212,cosine_depth,0.8651205235057406,1.0000001192092896,0.6815505027770996
cosine_depth,DD,MatrixRes,GCNConv,1,B3,identity,20260507_091915,cosine_depth,0.8729557063844469,1.0000001192092896,0.7038673758506775
cosine_depth,DD,MatrixRes,GCNConv,1,B4,identity,20260507_092428,cosine_depth,0.8679738574557834,1.0000001192092896,0.6978219151496887
cosine_depth,DD,MatrixRes,GCNConv,1,B5,identity,20260507_093055,cosine_depth,0.8508029447661506,1.0000001192092896,0.6630699038505554
cosine_depth,DD,MatrixRes,GCNConv,1,B6,identity,20260507_094006,cosine_depth,0.8583538399802314,1.0000001192092896,0.6602451801300049
cosine_depth,DD,MatrixRes,GCNConv,1,B7,identity,20260507_094832,cosine_depth,0.8748788038889567,1.0,0.7031628489494324
cosine_depth,DD,MatrixRes,GCNConv,1,B8,identity,20260507_100055,cosine_depth,0.8761723240216573,1.0000001192092896,0.7013506889343262
cosine_depth,DD,MatrixRes,GCNConv,2,B1,identity,20260507_091053,cosine_depth,0.8246359758906894,1.0,0.6501014232635498
cosine_depth,DD,MatrixRes,GCNConv,2,B2,identity,20260507_091502,cosine_depth,0.9387786587079366,1.000000238418579,0.8729760646820068
cosine_depth,DD,MatrixRes,GCNConv,2,B3,identity,20260506_223136,cosine_depth,0.9350685344802009,1.000000238418579,0.8522070050239563
cosine_depth,DD,MatrixRes,GCNConv,2,B3,identity,20260507_091813,cosine_depth,0.935076978471544,1.0,0.8521851897239685
