artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,matrix_name,mean_cka_branch,max_cka_branch,min_cka_branch
cka_branch,ENZYMES,HorizontalRes,GCNConv,0,B3,identity,20260506_220151,cka_branch,0.984795073668162,1.0,0.9575822949409485
cka_branch,ENZYMES,HorizontalRes,GCNConv,0,B3,identity,20260506_223728,cka_branch,0.9847950008180406,1.0,0.9575822949409485
cka_branch,ENZYMES,HorizontalRes,GCNConv,1,B3,identity,20260506_223737,cka_branch,0.91513991355896,1.0,0.750835120677948
cka_branch,ENZYMES,HorizontalRes,GCNConv,2,B3,identity,20260506_223811,cka_branch,0.9871169858508639,1.0,0.961534321308136
cka_branch,ENZYMES,HorizontalRes,GCNConv,3,B3,identity,20260506_223816,cka_branch,0.9915265242258707,1.0,0.9747467041015625
cka_branch,ENZYMES,HorizontalRes,GCNConv,4,B3,identity,20260506_223800,cka_branch,0.9942790733443366,1.0,0.9832183718681335
cka_branch,ENZYMES,MatrixResGated,GCNConv,0,B3,sparse,20260506_220157,cka_branch,0.9989794029129876,1.0,0.9974403381347656
cka_branch,ENZYMES,MatrixResGated,GCNConv,0,B3,sparse,20260506_224002,cka_branch,0.9986691210005019,1.000000238418579,0.996560275554657
cka_branch,ENZYMES,MatrixResGated,GCNConv,1,B3,sparse,20260506_224037,cka_branch,0.998344726032681,1.0,0.9951647520065308
cka_branch,ENZYMES,MatrixResGated,GCNConv,2,B3,sparse,20260506_224110,cka_branch,0.9980019066068861,1.0000001192092896,0.9943444132804871
cka_branch,ENZYMES,MatrixResGated,GCNConv,3,B3,sparse,20260506_224126,cka_branch,0.999770442644755,1.0000001192092896,0.9993217587471008
cka_branch,ENZYMES,MatrixResGated,GCNConv,4,B3,sparse,20260506_224123,cka_branch,0.998760806189643,1.0,0.9963685274124146
cka_branch,ENZYMES,MatrixRes,GCNConv,0,B3,identity,20260506_220155,cka_branch,0.9981894493103027,1.0,0.9950888156890869
cka_branch,ENZYMES,MatrixRes,GCNConv,0,B3,identity,20260506_223827,cka_branch,0.998926924334632,1.0,0.9970517754554749
cka_branch,ENZYMES,MatrixRes,GCNConv,1,B3,identity,20260506_223930,cka_branch,0.9984920289781358,1.0,0.9956587553024292
cka_branch,ENZYMES,MatrixRes,GCNConv,2,B3,identity,20260506_223933,cka_branch,0.9983844624625312,1.0,0.9952354431152344
cka_branch,ENZYMES,MatrixRes,GCNConv,3,B3,identity,20260506_223939,cka_branch,0.9997102618217468,1.0,0.9991592764854431
cka_branch,ENZYMES,MatrixRes,GCNConv,4,B3,identity,20260506_224018,cka_branch,0.9958392514122857,1.0,0.9875829815864563
cka_branch,ENZYMES,Plain,GCNConv,0,B3,identity,20260506_220147,cka_branch,0.9318877657254537,1.0,0.884341835975647
cka_branch,ENZYMES,Plain,GCNConv,0,B3,identity,20260506_223546,cka_branch,0.9885740809970431,1.0,0.9775434136390686
cka_branch,ENZYMES,Plain,GCNConv,1,B3,identity,20260506_223611,cka_branch,0.5099315378401015,1.0,0.09598135203123093
cka_branch,ENZYMES,Plain,GCNConv,2,B3,identity,20260506_223636,cka_branch,0.5896298504538007,1.0,0.0717211365699768
cka_branch,ENZYMES,Plain,GCNConv,3,B3,identity,20260506_223642,cka_branch,0.6925052669313219,1.0,0.4521947503089905
