artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,residual_sites,residual_count_total,residual_norm_pre_total,residual_norm_post_total,active_ratio_mean,gate_mean
residual_stats,PROTEINS,HorizontalRes,GCNConv,3,B8,identity,20260507_083143,32,56.0,3453.784942626953,3453.784942626953,0.2387125106761232,0.7894443273544312
residual_stats,PROTEINS,HorizontalRes,GCNConv,4,B1,identity,20260507_075844,4,0.0,0.0,0.0,0.0,0.800000011920929
residual_stats,PROTEINS,HorizontalRes,GCNConv,4,B2,identity,20260507_080009,8,8.0,651.1661682128906,651.1661682128906,0.3601604774594307,0.7956856489181519
residual_stats,PROTEINS,HorizontalRes,GCNConv,4,B3,identity,20260506_222002,12,16.0,1045.1431503295898,1045.1431503295898,0.24641552257041135,0.7886390686035156
residual_stats,PROTEINS,HorizontalRes,GCNConv,4,B3,identity,20260507_080231,12,16.0,1061.8775787353516,1061.8775787353516,0.24915922495226064,0.7887222170829773
residual_stats,PROTEINS,HorizontalRes,GCNConv,4,B4,identity,20260507_080621,16,24.0,1837.18599319458,1837.18599319458,0.29834185261279345,0.7934655547142029
residual_stats,PROTEINS,HorizontalRes,GCNConv,4,B5,identity,20260507_081113,20,32.0,2468.750675201416,2468.750675201416,0.3251917861402035,0.7938883900642395
residual_stats,PROTEINS,HorizontalRes,GCNConv,4,B6,identity,20260507_081740,24,40.0,3390.970588684082,3390.970588684082,0.3354959773520629,0.7932718396186829
residual_stats,PROTEINS,HorizontalRes,GCNConv,4,B7,identity,20260507_082332,28,48.0,3220.863929748535,3220.863929748535,0.31558433707271305,0.7919671535491943
residual_stats,PROTEINS,HorizontalRes,GCNConv,4,B8,identity,20260507_083156,32,56.0,4901.783790588379,4901.783790588379,0.35375313204713166,0.7941250205039978
residual_stats,PROTEINS,MatrixResGated,GCNConv,0,B1,sparse,20260507_091732,4,3.0,325.44415283203125,259.7629928588867,0.3396638557314873,0.8013498783111572
residual_stats,PROTEINS,MatrixResGated,GCNConv,0,B2,sparse,20260507_092148,8,20.0,1810.6342334747314,1448.12571144104,0.33109460522731143,0.7833922505378723
residual_stats,PROTEINS,MatrixResGated,GCNConv,0,B3,sparse,20260506_213839,6,15.0,656.8402633666992,487.6357536315918,0.3613566295968162,0.7916907072067261
residual_stats,PROTEINS,MatrixResGated,GCNConv,0,B3,sparse,20260506_220105,12,37.0,7559.986114501953,6720.763031005859,0.5135947078466415,0.7981013059616089
residual_stats,PROTEINS,MatrixResGated,GCNConv,0,B3,sparse,20260506_222218,12,37.0,3608.2780113220215,2969.735288619995,0.30524563334054416,0.7805026173591614
residual_stats,PROTEINS,MatrixResGated,GCNConv,0,B3,sparse,20260507_080508,12,37.0,4791.378837585449,4056.6699981689453,0.3957006596028805,0.791793942451477
