artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,grad_rows,mean_grad_norm,grad_max,grad_min
gradient_by_layer,ENZYMES,HorizontalRes,GCNConv,2,B3,identity,20260506_223811,27,0.0773371606030398,0.257642537355423,0.010161928832530975
gradient_by_layer,ENZYMES,HorizontalRes,GCNConv,3,B3,identity,20260506_223816,27,0.10242611704463209,0.47344380617141724,0.011009187437593937
gradient_by_layer,ENZYMES,HorizontalRes,GCNConv,4,B3,identity,20260506_223800,27,0.054688601892579486,0.17731617391109467,0.011217803694307804
gradient_by_layer,ENZYMES,MatrixResGated,GCNConv,0,B3,sparse,20260506_220157,27,0.2205341843267282,1.7739760875701904,0.03661574795842171
gradient_by_layer,ENZYMES,MatrixResGated,GCNConv,0,B3,sparse,20260506_224002,27,0.040767648360795446,0.232750803232193,0.00789708737283945
gradient_by_layer,ENZYMES,MatrixResGated,GCNConv,1,B3,sparse,20260506_224037,27,0.08231521280551399,0.2523129880428314,0.008307102136313915
gradient_by_layer,ENZYMES,MatrixResGated,GCNConv,2,B3,sparse,20260506_224110,27,0.046808142887635365,0.1393381953239441,0.005856419913470745
gradient_by_layer,ENZYMES,MatrixResGated,GCNConv,3,B3,sparse,20260506_224126,27,0.15039976417190498,1.0945936441421509,0.006154520902782679
gradient_by_layer,ENZYMES,MatrixResGated,GCNConv,4,B3,sparse,20260506_224123,27,0.08157027354119001,0.28068551421165466,0.007169901393353939
gradient_by_layer,ENZYMES,MatrixRes,GCNConv,0,B3,identity,20260506_220155,27,0.6694003680238018,6.865006923675537,0.07224922627210617
gradient_by_layer,ENZYMES,MatrixRes,GCNConv,0,B3,identity,20260506_223827,27,0.07274885670092233,0.642763078212738,0.0003244926920160651
